lat,lon,name
40.51083,-74.23116,HAYWOOD ST & PAGE AVE
40.51085,-74.25154,BENTLEY ST & HOPPING AVE
40.51093,-74.23119,ACADEMY AVE & PAGE AVE
40.51101,-74.25069,EARLEY PL & LAFAYETTE ST
40.51104,-74.23271,HAYWOOD ST & JACOB ST
40.51108,-74.24668,CRAIG AVE & JOHNSON AVE
40.51137,-74.25207,ARTHUR KILL RD & BENTLEY ST
40.5115,-74.24059,AMBOY RD & FISHER AVE
40.51157,-74.23288,HAYWOOD ST & JEFFREY PL
40.51161,-74.2314,ESTELLE PL & PAGE AVE
40.51167,-74.24025,AMBOY RD & SPRAGUE AVE
40.51168,-74.23472,BEDELL AVE & TUCCI CT
40.51174,-74.21044,HYLAN BLVD & SHARROTT AVE
40.51175,-74.2514,ARTHUR KILL RD & LAFAYETTE ST
40.5118,-74.24531,CRAIG AVE & YETMAN AVE
40.51183,-74.23147,JEFFREY PL & PAGE AVE
40.51189,-74.25115,ARTHUR KILL RD & BUTLER AVE
40.51194,-74.21963,KENNY RD & MOUNT LORETTO SR
40.51195,-74.2397,AMBOY RD & BARNARD AVE
40.51198,-74.23483,BEDELL AVE & GIEGERICH AVE
40.51203,-74.24113,FISHER AVE & JOSEPH CT
40.51204,-74.23683,JOLINE AVE & POE ST
40.51207,-74.2359,POE CT & POE ST
40.51213,-74.23687,EMILY CT & JOLINE AVE
40.51225,-74.23491,BEDELL AVE & POE ST
40.51231,-74.22533,ACADEMY AVE & RICHARD AVE
40.51236,-74.25005,ARTHUR KILL RD & MAIN ST
40.51236,-74.24434,CRAIG AVE & LEE AVE
40.51242,-74.23164,EASTWOOD AVE & ELIZABETH CT
40.51246,-74.25015,ARTHUR KILL RD & MAIN ST
40.51246,-74.23892,AMBOY RD & BREHAUT AVE
40.51253,-74.2388,AMBOY RD & BREHAUT AVE
40.51257,-74.22299,CUNNINGHAM RD & MOUNT LORETTO SR
40.51262,-74.19706,JOHNSTON TER & SEGUINE AVE
40.51263,-74.19721,JOHNSTON TER & LEMON CREEK PARK PATH
40.51268,-74.24378,CRAIG AVE & WOOD AVE
40.51268,-74.20528,JOHNSTON TER & WOODVALE AVE
40.51274,-74.19369,HOLTEN AVE & PURDY PL
40.51275,-74.19858,JOHNSTON TER & LEMON CREEK PARK PATH
40.51289,-74.24899,ARTHUR KILL RD & TYRRELL ST
40.51292,-74.23514,BEDELL AVE & NEWFOLDEN PL
40.51292,-74.19488,PURDY PL & VAN WYCK AVE
40.51296,-74.23386,CHEEVERS LN & GIEGERICH AVE
40.51299,-74.23817,AMBOY RD & NASHVILLE ST
40.51302,-74.20338,INDALE AVE & JOHNSTON TER
40.51303,-74.2507,CONFERENCE CT & MAIN ST
40.51304,-74.1958,NAVIGATOR CT & PURDY PL
40.5131,-74.24856,ARTHUR KILL RD & JOHNSON AVE
40.51314,-74.20644,BAYSIDE LN & ST EDWARD LN
40.51321,-74.19685,PURDY PL & SEGUINE AVE
40.51323,-74.25086,MAIN ST & MAIN ST FOOTBRIDGE
40.51329,-74.19917,BROKEN SHELL RD & JOHNSTON TER
40.5133,-74.20562,BAYSIDE LN & WOODVALE AVE
40.51333,-74.20028,BAYVIEW AVE & JOHNSTON TER
40.51339,-74.20108,COMMODORE DR & JOHNSTON TER
40.5134,-74.24256,CRAIG AVE & FISHER AVE
40.51347,-74.23746,AMBOY RD & PARKER ST
40.51349,-74.20468,BAYSIDE LN & ST EDWARD LN
40.51352,-74.23736,AMBOY RD & JOLINE AVE
40.51359,-74.25122,ELLIS ST & MAIN ST
40.5136,-74.24756,ARTHUR KILL RD & GIRARD ST
40.51365,-74.24971,TYRRELL ST & UTAH ST
40.51366,-74.20375,BAYSIDE LN & INDALE AVE
40.51377,-74.24722,ARTHUR KILL RD & YETMAN AVE
40.51379,-74.24918,JOHNSON AVE & UTAH ST
40.51388,-74.23667,AMBOY RD & HECKER ST
40.51397,-74.24689,ARTHUR KILL RD & MEAGAN LOOP
40.514,-74.20601,ST EDWARD LN & WOODVALE AVE
40.51401,-74.20397,INDALE AVE & MARINE DR
40.51406,-74.24177,BARNARD AVE & CRAIG AVE
40.51407,-74.20401,INDALE AVE & MARINE DR
40.51415,-74.20128,ADMIRALTY LOOP & COMMODORE DR
40.51415,-74.19668,MARSCHER PL & SEGUINE AVE
40.51421,-74.23601,AMBOY RD & HALE ST
40.51428,-74.20313,ADMIRALTY LOOP & MARINE DR
40.51434,-74.19485,MARSCHER PL & VAN WYCK AVE
40.51435,-74.20318,ADMIRALTY LOOP & MARINE DR
40.51437,-74.24629,ARTHUR KILL RD & LEE AVE
40.51439,-74.20069,BAYVIEW AVE & BROKEN SHELL RD
40.5144,-74.23564,AMBOY RD & BEDELL AVE
40.51442,-74.20625,HYLAN BLVD & WOODVALE AVE
40.51453,-74.23965,LENHART ST & NASHVILLE ST
40.51464,-74.24587,ARTHUR KILL RD & MEAGAN LOOP
40.51467,-74.24104,BREHAUT AVE & CRAIG AVE
40.51469,-74.2458,ARTHUR KILL RD & WOOD LN
40.51472,-74.24575,ARTHUR KILL RD & WOOD AVE
40.51473,-74.20154,COMMODORE DR & FLAGSHIP CIR
40.51478,-74.24392,FISHER AVE & ORCHARD AVE
40.51486,-74.20649,WOODVALE AVE & WOODVALE LOOP
40.51498,-74.23887,LENHART ST & PARKER ST
40.51498,-74.19674,SEGUINE AVE & WILBUR ST
40.515,-74.20356,ADMIRALTY LOOP & COMMODORE DR
40.51506,-74.23457,AMBOY RD & BETHEL AVE
40.51512,-74.24513,ARTHUR KILL RD & TRACY AVE
40.51513,-74.24025,CRAIG AVE & NASHVILLE ST
40.51517,-74.19541,WALCH PL & WILBUR ST
40.51524,-74.19488,VAN WYCK AVE & WILBUR ST
40.51537,-74.20476,HYLAN BLVD & INDALE AVE
40.5154,-74.19375,HOLTEN AVE & WILBUR ST
40.51541,-74.23814,HECKER ST & LENHART ST
40.51542,-74.21183,SHARROTT AVE & SHERWOOD AVE
40.51547,-74.20683,WOODVALE AVE & WOODVALE LOOP
40.51547,-74.19786,HANK PL & TRENTON CT
40.51549,-74.24458,ARTHUR KILL RD & FISHER AVE
40.51555,-74.23253,MINERVA AVE & PAGE AVE
40.51556,-74.23947,CRAIG AVE & LION ST
40.51556,-74.19679,HANK PL & SEGUINE AVE
40.51574,-74.23747,HALE ST & LENHART ST
40.51578,-74.24355,ARTHUR KILL RD & BARNARD AVE
40.51579,-74.23544,BETHEL AVE & FERGUSON CT
40.51583,-74.20811,CAROLYN CT & PALMIERI LN
40.51585,-74.2326,ADELPHI AVE & PAGE AVE
40.51589,-74.20612,CAROL CT & WOODVALE LOOP
40.51592,-74.24399,ELLIS ST & WEIR LN
40.51593,-74.20473,BAYVIEW LN & BURTON AVE
40.51594,-74.19682,MELVILLE ST & SEGUINE AVE
40.516,-74.23871,CRAIG AVE & HECKER ST
40.51609,-74.19578,MELVILLE ST & ORMSBY AVE
40.5161,-74.19866,MEMO ST & TRENTON CT
40.51611,-74.24,LION ST & MAIDEN LN
40.51611,-74.19565,MELVILLE ST & WALCH PL
40.51613,-74.20718,PALMIERI LN & WOODVALE AVE
40.51615,-74.23602,BETHEL AVE & SIMON CT
40.51621,-74.195,CASE AVE & MELVILLE ST
40.51622,-74.19684,MEMO ST & SEGUINE AVE
40.51626,-74.23094,ADELPHI AVE & EUGENE ST
40.51634,-74.23282,AMBOY RD & PAGE AVE
40.51635,-74.23637,BETHEL AVE & LENHART ST
40.51641,-74.19353,HOLTEN AVE & MELVILLE ST
40.51642,-74.20395,BAYVIEW LN & EVERETT AVE
40.51646,-74.21215,SHARROTT AVE & VAIL AVE
40.51654,-74.23923,HECKER ST & MAIDEN LN
40.51663,-74.20279,BAYVIEW AVE & HYLAN BLVD
40.5168,-74.19874,KINGSLAND ST & TRENTON CT
40.51681,-74.19857,KINGSLAND ST & TRENTON CT
40.51686,-74.23719,BETHEL AVE & CRAIG AVE
40.51686,-74.23231,AMBOY RD & MURRAY ST
40.51687,-74.20756,VAIL AVE & WOODVALE AVE
40.51688,-74.19507,CASE AVE & NORMAN PL
40.51692,-74.23848,HART PL & MAIDEN LN
40.51694,-74.19691,KINGSLAND ST & SEGUINE AVE
40.51695,-74.2408,ARTHUR KILL RD & LION ST
40.51697,-74.20307,BAYVIEW AVE & BAYVIEW LN
40.51727,-74.23789,BETHEL AVE & MAIDEN LN
40.51729,-74.23992,HECKER ST & ST ANDREWS PL
40.51732,-74.19321,HOLTEN AVE & NORMAN PL
40.51751,-74.21247,SHARROTT AVE & STEVENSON PL
40.51753,-74.23905,HART PL & ST ANDREWS PL
40.51754,-74.23159,AMBOY RD & EUGENE ST
40.51757,-74.19512,CASE AVE & COOPER PL
40.51764,-74.23851,BETHEL AVE & ST ANDREWS PL
40.51764,-74.19099,WOLFES POND PARK PATH & WOLFES POND PARK TRL
40.51771,-74.24054,ARTHUR KILL RD & ELLIS ST
40.51773,-74.19881,KEATING ST & TRENTON CT
40.51785,-74.23133,AMBOY RD & DREW CT
40.51787,-74.197,KEATING ST & SEGUINE AVE
40.51792,-74.20584,BURTON AVE & VAIL AVE
40.518,-74.19607,KEATING ST & ORMSBY AVE
40.51805,-74.19374,COOPER PL & HOLTEN AVE
40.51811,-74.20495,EVERETT AVE & VAIL AVE
40.5182,-74.2238,AMBOY RD & CUNNINGHAM RD
40.5183,-74.19522,CASE AVE & KEATING ST
40.51831,-74.23958,AVERILL PL & NASSAU PL
40.51833,-74.20401,BAYVIEW AVE & VAIL AVE
40.51842,-74.21275,KENNETH PL & SHARROTT AVE
40.51853,-74.19968,HYLAN BLVD & INEZ ST
40.51853,-74.18923,WOLFES POND PARK DY & WOLFES POND PARK PATH
40.51859,-74.21169,CORDELIA AVE & KENNETH PL
40.51866,-74.19419,HOLTEN AVE & KEATING ST
40.51867,-74.19613,ARMOUR PL & ORMSBY AVE
40.51874,-74.24024,ARTHUR KILL RD & NASSAU PL
40.51878,-74.21062,KENNETH PL & S  GOFF AVE
40.51883,-74.19863,HYLAN BLVD & PRAGUE CT
40.51893,-74.20972,ELDER AVE & KENNETH PL
40.51902,-74.20139,CIARCIA CT & HANOVER AVE
40.51909,-74.22948,AMBOY RD & RICHMOND VALLEY RD
40.51913,-74.19714,HYLAN BLVD & SEGUINE AVE
40.51918,-74.20877,KENNETH PL & WOODVALE AVE
40.51929,-74.19465,ARMOUR PL & HOLTEN AVE
40.51931,-74.20882,FINLAY AVE & WOODVALE AVE
40.51933,-74.19984,HANOVER AVE & TRENTON CT
40.51943,-74.1962,HYLAN BLVD & ORMSBY AVE
40.51946,-74.22956,COZZENS BLVD FOOTBRIDGE & RICHMOND VALLEY RD
40.51951,-74.1877,CHESTER AVE & CORNELIA AVE
40.51955,-74.20778,CRESTON ST & FINLAY AVE
40.51961,-74.19721,SEGUINE AVE & SEGUINE LOOP
40.51963,-74.22014,AMBOY RD & GEORGIA CT
40.51973,-74.22866,AMBOY RD & RICHMOND VALLEY RD
40.51975,-74.2069,BURTON AVE & FINLAY AVE
40.51978,-74.21203,CORDELIA AVE & EVERETT PL
40.51995,-74.21102,EVERETT PL & S  GOFF AVE
40.51995,-74.20599,EVERETT AVE & FINLAY AVE
40.51999,-74.2293,RICHMOND VALLEY RD & WEINER ST
40.51999,-74.19728,HANOVER AVE & SEGUINE AVE
40.52001,-74.19519,HOLTEN AVE & HYLAN BLVD
40.52021,-74.18823,CORNELIA AVE & VEITH PL
40.52027,-74.19738,SEGUINE AVE & SEGUINE LOOP
40.52028,-74.20457,BAYVIEW AVE & FINLAY AVE
40.52035,-74.21114,RIGIMAR CT & S  GOFF AVE
40.52037,-74.2093,EXCELSIOR AVE & WOODVALE AVE
40.52039,-74.18777,ALLEY & VEITH PL
40.52047,-74.18498,CHESTER AVE & IRVINGTON ST
40.52051,-74.19757,DIRENZO CT & SEGUINE AVE
40.52059,-74.18462,CHESTER AVE & WOLFES POND PARK TRL
40.5206,-74.22952,RICHMOND PL & WEINER ST
40.52064,-74.23087,RICHMOND VALLEY RD & TORRICE LOOP
40.52064,-74.1785,ARBUTUS AVE & NICOLOSI DR
40.5207,-74.22955,COLE ST & WEINER ST
40.52071,-74.23392,MADSEN AVE & RICHMOND VALLEY RD
40.52076,-74.23268,RICHMOND VALLEY RD & TORRICE LOOP
40.52086,-74.18383,CHESTER AVE & HUGUENOT AVE
40.5209,-74.2318,FROSINONE LN & RICHMOND VALLEY RD
40.52092,-74.21753,AMBOY RD & BEDELL ST
40.52093,-74.23511,PAGE AVE & RICHMOND VALLEY RD
40.521,-74.18883,CORNELIA AVE & EDITH AVE
40.52116,-74.21451,BEDELL ST & GILBERT PL
40.52119,-74.21141,LATOURETTE ST & S  GOFF AVE
40.5212,-74.22971,BUTLER ST & WEINER ST
40.52124,-74.21355,BEDELL ST & SHARROTT AVE
40.52126,-74.20476,BAYVIEW AVE & EXCELSIOR AVE
40.52127,-74.18272,CHESTER AVE & SWAIM AVE
40.52129,-74.23946,ARTHUR KILL RD & RICHMOND VALLEY RD
40.5213,-74.18814,EDITH AVE & MAXWELL AVE
40.52133,-74.20962,SHADYSIDE AVE & WOODVALE AVE
40.52134,-74.17996,LOCUST PL & YEOMALT AVE
40.52137,-74.22884,BUTLER ST & MEADE LOOP
40.52144,-74.20965,LATOURETTE ST & WOODVALE AVE
40.52154,-74.21362,LATOURETTE ST & SHARROTT AVE
40.5216,-74.23182,FROSINONE LN & TORRICE LOOP
40.52169,-74.21268,CORDELIA AVE & LATOURETTE ST
40.52171,-74.17894,ARBUTUS AVE & YEOMALT AVE
40.52186,-74.21163,LATOURETTE ST & S  GOFF AVE
40.522,-74.18608,EDITH AVE & IRVINGTON ST
40.52206,-74.19871,JOHANNA LN & SEGUINE AVE
40.52207,-74.17571,NICOLOSI DR & NICOLOSI LOOP
40.52214,-74.22505,UNNAMED ST & W SHORE EXPY NB EXIT
40.52214,-74.1804,CHESTER AVE & COLON ST
40.52218,-74.19879,SEGUINE AVE & SINGLETON ST
40.52222,-74.20971,FICARELLE DR & WOODVALE AVE
